Rainfall,Temperature,Humidity,Soil_Moisture,Previous_Groundwater_Level,Water_Consumption,Groundwater_Recharge,Groundwater_Level
187.27,22.85,65.76,53.62,22.17,436.28,98.15,15.67
475.36,22.41,84.43,17.93,21.24,399.62,12.0,16.37
366.0,42.19,80.81,70.43,4.68,258.54,36.35,12.81
299.33,22.49,32.31,50.98,27.83,646.54,116.05,17.23
78.01,23.16,31.94,16.79,17.92,528.96,79.3,9.15
78.0,37.78,41.45,77.18,12.18,879.13,139.2,11.77
29.04,28.49,48.89,43.88,23.18,128.9,64.31,13.68
433.09,38.3,52.68,10.47,9.21,679.48,130.47,10.25
300.56,16.96,74.38,52.01,21.42,786.65,67.34,13.86
354.04,29.63,24.53,23.99,3.11,783.54,146.89,8.77
10.29,16.01,22.77,65.28,25.5,897.47,143.98,14.99
484.95,16.88,51.35,66.34,14.55,756.13,49.37,16.76
416.22,42.19,75.77,78.42,19.83,935.03,132.89,17.5
106.17,19.18,35.47,42.64,8.19,399.39,127.14,9.65
90.91,30.97,71.32,39.12,20.96,552.89,31.6,7.19
91.7,27.33,40.79,61.51,23.62,112.67,93.64,17.7
152.12,25.42,90.89,14.94,15.25,106.26,10.9,9.08
262.38,42.0,91.66,46.02,19.3,316.11,125.51,15.63
215.97,15.65,43.78,45.97,14.78,190.73,26.18,11.23
145.61,34.91,38.4,11.71,27.03,334.19,10.62,10.47
305.93,43.9,52.9,36.35,15.94,259.34,60.03,14.01
69.75,31.81,39.24,69.0,25.57,125.67,86.54,17.37
146.07,43.1,73.79,69.21,24.44,918.37,128.24,14.74
183.18,16.57,86.09,12.44,13.49,107.4,146.14,11.11
228.03,27.56,73.85,11.8,8.44,762.47,65.92,4.19
392.59,22.8,85.95,24.7,13.37,236.93,9.07,10.91
99.84,36.92,51.76,70.61,25.13,921.01,112.37,14.12
257.12,44.44,32.51,14.67,8.37,903.52,84.78,5.75
296.21,22.7,79.04,59.0,16.68,688.51,67.18,13.14
23.23,34.63,48.84,12.59,24.57,705.01,46.39,5.99
303.77,20.94,73.7,51.74,11.9,104.81,75.36,13.0
85.26,31.96,41.65,31.71,19.98,986.38,50.8,9.17
32.53,28.92,26.5,64.17,8.88,890.05,113.55,9.33
474.44,44.16,99.41,22.53,5.06,905.6,81.58,10.2
482.82,33.26,32.5,52.94,24.24,693.32,131.53,21.44
404.2,25.49,99.07,22.68,4.77,410.31,81.53,9.38
152.31,18.42,98.18,58.52,9.6,904.28,35.74,8.81
48.84,19.54,83.51,70.53,25.94,362.37,127.66,18.1
342.12,21.76,72.75,14.51,11.7,606.44,83.58,10.48
220.08,22.53,66.22,69.99,29.25,189.76,31.03,18.44
61.02,40.52,89.29,49.52,29.43,929.76,93.53,9.64
247.59,31.84,43.16,14.53,9.51,226.69,53.66,9.78
17.19,30.7,57.41,37.07,3.15,302.41,126.66,7.24
454.66,18.44,69.55,17.06,21.74,602.32,67.99,15.58
129.39,40.8,52.9,57.53,14.63,787.68,108.97,10.76
331.26,36.68,54.2,61.92,4.82,657.42,14.33,7.91
155.86,17.03,46.42,12.93,21.81,308.92,59.4,10.58
260.03,36.24,65.14,42.96,2.87,100.85,147.49,12.77
273.36,31.31,88.05,66.1,26.37,781.44,121.27,17.21
92.43,17.45,36.12,75.21,5.88,986.69,23.99,5.83
484.79,28.75,94.75,43.51,5.56,828.92,41.66,10.29
387.57,29.54,75.13,76.27,6.92,514.19,49.47,12.54
469.75,19.97,85.86,45.18,28.89,913.39,97.55,20.47
447.41,43.37,64.5,34.56,21.41,468.86,113.55,16.28
298.95,40.5,82.36,68.62,24.44,572.44,112.43,17.55
460.94,35.07,21.3,41.97,13.13,529.42,76.48,14.34
44.25,28.87,85.47,40.39,11.42,502.86,121.62,10.12
97.99,27.35,23.21,41.77,8.57,797.67,65.56,3.62
22.61,34.53,91.19,68.51,15.46,574.09,18.58,8.58
162.67,31.36,99.36,67.4,17.45,385.05,84.67,13.57
194.34,16.87,43.53,35.26,19.69,332.34,142.85,15.94
135.67,30.38,36.83,30.0,9.2,133.97,118.95,8.75
414.37,39.19,81.23,41.89,28.56,624.88,86.81,17.56
178.38,28.78,40.24,47.96,6.75,306.97,97.02,11.25
140.47,16.56,89.24,22.88,29.04,233.32,139.58,17.96
271.35,38.59,28.23,64.55,2.42,688.45,64.25,7.51
70.46,21.04,30.08,41.49,15.47,713.09,49.71,7.74
401.1,22.76,98.33,30.05,11.33,776.94,146.59,14.59
37.28,19.94,73.91,13.01,14.58,553.22,129.52,9.2
493.44,24.91,87.75,22.91,17.98,904.65,48.46,12.51
386.12,37.7,45.95,76.2,14.2,942.71,69.57,15.29
99.36,30.58,74.12,27.88,13.62,826.63,62.26,7.31
2.76,21.15,67.54,17.66,22.52,672.03,22.36,6.98
407.73,41.33,68.25,39.55,21.2,373.35,143.67,18.95
353.43,41.39,74.6,28.03,25.33,984.65,60.65,13.62
364.5,41.12,66.03,7.64,9.0,346.72,131.3,11.41
385.64,22.16,54.32,29.24,19.07,282.39,28.4,14.97
37.02,28.54,42.07,45.81,18.39,497.94,82.18,11.6
179.23,44.55,81.49,46.38,12.35,151.16,3.59,6.81
57.93,38.16,38.1,31.74,15.61,980.65,114.63,6.32
431.55,15.82,75.39,38.55,10.79,629.59,87.14,12.67
311.65,16.96,38.67,77.41,5.97,601.26,93.84,14.63
165.45,28.92,70.03,33.3,7.99,690.22,7.76,2.15
31.78,42.28,79.77,24.37,4.95,547.32,31.66,2.0
155.49,31.16,37.5,23.26,21.13,128.86,11.15,10.39
162.59,29.93,24.8,39.33,20.5,651.08,43.34,11.79
364.8,18.16,30.48,61.96,28.62,744.56,94.12,20.54
318.78,34.7,68.48,20.45,22.43,475.07,84.93,12.42
443.61,39.66,87.96,58.2,3.46,781.57,91.82,9.93
236.11,26.41,23.6,6.59,26.76,304.3,82.39,12.77
59.8,38.27,78.73,36.42,26.15,299.15,40.95,10.85
356.62,43.93,47.31,63.19,14.41,245.28,36.68,13.52
380.39,21.11,58.28,30.4,18.4,434.8,20.56,11.21
280.64,30.7,94.31,47.28,29.33,862.31,127.36,20.13
385.48,23.61,46.56,20.37,16.9,845.12,92.47,10.88
246.9,38.79,57.23,60.65,27.35,444.54,27.98,17.14
261.37,32.33,21.09,8.92,4.33,630.21,26.58,4.5
213.77,34.04,26.53,68.94,7.35,748.73,130.96,12.91
12.71,38.94,40.69,19.86,14.34,317.09,111.41,7.21
53.95,26.88,22.23,70.58,18.37,251.33,98.91,14.9
15.71,42.45,70.51,31.44,24.85,974.89,61.03,6.34
318.21,30.99,54.11,59.2,29.67,655.8,39.3,18.39
157.18,19.74,63.85,28.94,12.89,983.27,146.92,10.05
254.29,35.88,33.97,72.94,3.33,403.98,119.59,11.7
453.78,38.8,43.67,14.5,24.43,732.73,45.27,11.99
124.65,24.5,73.11,18.39,18.92,300.34,127.13,9.65
205.19,40.72,97.22,41.98,7.56,335.08,113.84,9.01
377.78,42.18,24.03,11.15,15.86,560.71,44.56,10.87
114.4,23.31,91.23,19.7,22.78,387.66,63.98,10.63
38.49,44.51,66.15,75.78,23.57,250.86,27.89,12.57
144.88,19.22,65.11,78.24,15.99,336.59,16.66,13.17
80.61,21.06,60.02,33.22,10.55,132.17,108.41,12.48
